"","pvalue","Speedup1","Speedup2","Speedup3"
"2",3,1.98019801980198,1.81818181818182,1.6
"3",4,2.94117647058824,2.5,2
"4",5,3.88349514563107,3.07692307692308,2.28571428571429
"5",6,4.80769230769231,3.57142857142857,2.5
"6",7,5.71428571428571,4,2.66666666666667
"7",8,6.60377358490566,4.375,2.8
"8",9,7.47663551401869,4.70588235294118,2.90909090909091
"9",10,8.33333333333333,5,3
"10",11,9.1743119266055,5.26315789473684,3.07692307692308
"11",12,10,5.5,3.14285714285714
"12",13,10.8108108108108,5.71428571428571,3.2
"13",14,11.6071428571429,5.90909090909091,3.25
"14",15,12.3893805309735,6.08695652173913,3.29411764705882
"15",16,13.1578947368421,6.25,3.33333333333333
"16",17,13.9130434782609,6.4,3.36842105263158
"17",18,14.6551724137931,6.53846153846154,3.4
"18",19,15.3846153846154,6.66666666666667,3.42857142857143
"19",20,16.1016949152542,6.78571428571428,3.45454545454545
"20",21,16.8067226890756,6.89655172413793,3.47826086956522
"21",22,17.5,7,3.5
"22",23,18.1818181818182,7.09677419354839,3.52
"23",24,18.8524590163934,7.1875,3.53846153846154
"24",25,19.5121951219512,7.27272727272727,3.55555555555556
"25",26,20.1612903225806,7.35294117647059,3.57142857142857
"26",27,20.8,7.42857142857143,3.58620689655172
"27",28,21.4285714285714,7.5,3.6
"28",29,22.0472440944882,7.56756756756757,3.61290322580645
"29",30,22.65625,7.63157894736842,3.625
"30",31,23.2558139534884,7.69230769230769,3.63636363636364
"31",32,23.8461538461538,7.75,3.64705882352941
"32",33,24.4274809160305,7.80487804878049,3.65714285714286
"33",34,25,7.85714285714286,3.66666666666667
"34",35,25.5639097744361,7.90697674418605,3.67567567567568
"35",36,26.1194029850746,7.95454545454545,3.68421052631579
"36",37,26.6666666666667,8,3.69230769230769
"37",38,27.2058823529412,8.04347826086956,3.7
"38",39,27.7372262773723,8.08510638297872,3.70731707317073
"39",40,28.2608695652174,8.125,3.71428571428571
"40",41,28.7769784172662,8.16326530612245,3.72093023255814
"41",42,29.2857142857143,8.2,3.72727272727273
"42",43,29.7872340425532,8.23529411764706,3.73333333333333
"43",44,30.2816901408451,8.26923076923077,3.73913043478261
"44",45,30.7692307692308,8.30188679245283,3.74468085106383
"45",46,31.25,8.33333333333333,3.75
"46",47,31.7241379310345,8.36363636363636,3.75510204081633
"47",48,32.1917808219178,8.39285714285714,3.76
"48",49,32.6530612244898,8.42105263157895,3.76470588235294
"49",50,33.1081081081081,8.44827586206896,3.76923076923077
"50",51,33.5570469798658,8.47457627118644,3.77358490566038
"51",52,34,8.5,3.77777777777778
"52",53,34.4370860927152,8.52459016393443,3.78181818181818
"53",54,34.8684210526316,8.54838709677419,3.78571428571429
"54",55,35.2941176470588,8.57142857142857,3.78947368421053
"55",56,35.7142857142857,8.59375,3.79310344827586
"56",57,36.1290322580645,8.61538461538461,3.79661016949153
"57",58,36.5384615384615,8.63636363636364,3.8
"58",59,36.9426751592357,8.65671641791045,3.80327868852459
"59",60,37.3417721518987,8.67647058823529,3.80645161290323
"60",61,37.7358490566038,8.69565217391304,3.80952380952381
"61",62,38.125,8.71428571428571,3.8125
"62",63,38.5093167701863,8.73239436619718,3.81538461538462
"63",64,38.8888888888889,8.75,3.81818181818182
"64",65,39.2638036809816,8.76712328767123,3.82089552238806
