pvalue,S = 0.01,S = 0.1,S = 0.25
2,1.98019802,1.6,1.32642487
3,2.941176471,2,1.32642487
4,3.883495146,2.285714286,1.32642487
5,4.807692308,2.5,1.32642487
6,5.714285714,2.666666667,1.32642487
7,6.603773585,2.8,1.32642487
8,7.476635514,2.909090909,1.32642487
9,8.333333333,3,1.32642487
10,9.174311927,3.076923077,1.32642487
11,10,3.142857143,1.32642487
12,10.81081081,3.2,1.32642487
13,11.60714286,3.25,1.32642487
14,12.38938053,3.294117647,1.32642487
15,13.15789474,3.333333333,1.32642487
16,13.91304348,3.368421053,1.32642487
17,14.65517241,3.4,1.32642487
18,15.38461538,3.428571429,1.32642487
19,16.10169492,3.454545455,1.32642487
20,16.80672269,3.47826087,1.32642487
21,17.5,3.5,1.32642487
22,18.18181818,3.52,1.32642487
23,18.85245902,3.538461538,1.32642487
24,19.51219512,3.555555556,1.32642487
25,20.16129032,3.571428571,1.32642487
26,20.8,3.586206897,1.32642487
27,21.42857143,3.6,1.32642487
28,22.04724409,3.612903226,1.32642487
29,22.65625,3.625,1.32642487
30,23.25581395,3.636363636,1.32642487
31,23.84615385,3.647058824,1.32642487
32,24.42748092,3.657142857,1.32642487
33,25,3.666666667,1.32642487
34,25.56390977,3.675675676,1.32642487
35,26.11940299,3.684210526,1.32642487
36,26.66666667,3.692307692,1.32642487
37,27.20588235,3.7,1.32642487
38,27.73722628,3.707317073,1.32642487
39,28.26086957,3.714285714,1.32642487
40,28.77697842,3.720930233,1.32642487
41,29.28571429,3.727272727,1.32642487
42,29.78723404,3.733333333,1.32642487
43,30.28169014,3.739130435,1.32642487
44,30.76923077,3.744680851,1.32642487
45,31.25,3.75,1.32642487
46,31.72413793,3.755102041,1.32642487
47,32.19178082,3.76,1.32642487
48,32.65306122,3.764705882,1.32642487
49,33.10810811,3.769230769,1.32642487
50,33.55704698,3.773584906,1.32642487
51,34,3.777777778,1.32642487
52,34.43708609,3.781818182,1.32642487
53,34.86842105,3.785714286,1.32642487
54,35.29411765,3.789473684,1.32642487
55,35.71428571,3.793103448,1.32642487
56,36.12903226,3.796610169,1.32642487
57,36.53846154,3.8,1.32642487
58,36.94267516,3.803278689,1.32642487
59,37.34177215,3.806451613,1.32642487
60,37.73584906,3.80952381,1.32642487
61,38.125,3.8125,1.32642487
62,38.50931677,3.815384615,1.32642487
63,38.88888889,3.818181818,1.32642487
64,39.26380368,3.820895522,1.32642487
